run_id,split,cv_rate_pct,n_gt,n_baseline_eval,n_corrected_eval,mae_baseline_sec,rmse_baseline_sec,maxae_baseline_sec,abc_baseline_vehicle_sec,mae_corrected_sec,rmse_corrected_sec,maxae_corrected_sec,abc_corrected_vehicle_sec,mae_improvement_sec,mae_improvement_pct,rmse_improvement_sec,rmse_improvement_pct,maxae_improvement_sec,maxae_improvement_pct,abc_improvement_vehicle_sec,abc_improvement_pct
5,train,50,1343,1343,1343,19.09437581692644,22.10219911532579,58.214390503701,25643.746722132248,1.273931035138553,2.9068034054777985,25.389010378104103,1710.8893801910767,17.820444781787888,93.3282394389176,19.19539570984799,86.84835210147843,32.825380125596894,56.387054543687114,23932.85734194117,93.32823943891762
6,train,50,1191,1191,1191,15.175806432452264,18.42784975158038,54.43399442298414,18074.38546105064,1.4511486003234364,3.7415883014135893,65.10009765625,1728.3179829852127,13.724657832128827,90.43774967226605,14.68626145016679,79.69601254702704,-10.666103233265858,-19.594562821137036,16346.067478065426,90.43774967226605
7,train,50,1312,1312,1312,16.70828680216726,19.391224330412033,47.70566400111761,21921.27228444344,1.3799549336614791,3.459233786256742,30.89990234375,1810.5008729638605,15.328331868505783,91.74089510192941,15.93199054415529,82.16082838652179,16.80576165736761,35.2280216809767,20110.771411479578,91.7408951019294
8,train,50,1271,1271,1271,16.027505874829746,19.10664449372115,54.77803188691246,20370.95996690864,1.5085667560848017,4.174917372824278,39.631086267733906,1917.3883469837829,14.518939118744944,90.58763872641022,14.93172712089687,78.14939523161041,15.146945619178553,27.651496589817157,18453.571619924856,90.58763872641023
9,train,50,1392,1392,1392,19.71311356923073,22.485714272573396,54.8320738904215,27440.65408836917,1.3341236880522847,3.510418867782187,67.0,1857.1001737687802,18.37898988117845,93.23230354572372,18.97529540479121,84.3882261189098,-12.167926109578502,-22.191256405685746,25583.55391460039,93.23230354572372
10,train,50,1358,1358,1358,15.860434858024808,19.193490665708943,49.12035739729643,21538.470537197707,1.4738101410973994,4.083347662949324,31.89990234375,2001.4341716102683,14.38662471692741,90.70763094271841,15.110143002759619,78.72535155762664,17.22045505354643,35.057674589505815,19537.03636558744,90.70763094271842
11,test,50,1345,1345,1345,17.86169748668468,20.66982622614904,55.25654560819976,24023.98311959092,1.2991970642919404,3.3347879785246404,33.568043240865336,1747.4200514726597,16.562500422392738,92.72635165128929,17.3350382476244,83.86639567242294,21.688502367334422,39.25055779114062,22276.563068118263,92.72635165128932
12,test,50,1260,1260,1260,15.99703322594505,19.094352080082956,49.48947178188928,20156.26186469079,1.4128756282781432,3.585556412742553,32.5,1780.2232916304604,14.584157597666906,91.1678896435206,15.508795667340403,81.22190060335906,16.98947178188928,34.32946679399919,18376.03857306033,91.16788964352061
13,test,50,1285,1285,1285,17.350059620874866,20.46345079400838,52.62850155901492,22294.826612824225,1.4481379057555472,3.8199845993171317,47.828607463728986,1860.857208895878,15.901921715119318,91.65341251039155,16.64346619469125,81.33264698231831,4.799894095285936,9.12033205031228,20433.969403928346,91.65341251039156
14,test,50,1352,1352,1352,16.05082943740759,19.824546385624295,52.477853825470504,21700.721399375037,1.4014426123797261,3.640824638423115,42.699981689453125,1894.7504119373896,14.649386825027863,91.26872154585628,16.18372174720118,81.6347644601682,9.777872136017379,18.632378085689965,19805.97098743765,91.26872154585628
